W8,NightmareWGovt_1,NightmareWGovt_2,NightmareWGovt_3,NightmareWGovt_5,NightmareWGovt_6,NightmareWGovt_7,NightmareWGovt_8,NightmareWGovt_9,NightmareWGovt_10,StopReform
.817927073,Yes,,No,,Yes,,No,No,No,Plaid Cymru
.961847396,No,No,No,No,No,No,No,No,Yes,
1.458156071,Yes,Yes,No,No,,No,No,No,No,
.538553406,No,No,No,No,No,No,Yes,No,No,
.240122283,Yes,,No,,Yes,No,No,No,No,Plaid Cymru
.88964232,Yes,Yes,Yes,No,,Yes,No,No,No,
.632608388,No,,,,Yes,No,No,No,No,Don't know
1.002888919,Yes,No,No,,Yes,No,No,No,No,Don't know
1.346637899,,Yes,No,,,No,No,No,No,
.416285482,No,No,,,Yes,No,No,No,No,Plaid Cymru
1.962878119,Yes,Yes,,,Yes,,No,No,No,Plaid Cymru
.474418989,,Yes,Yes,Yes,,Yes,No,No,No,
1.289545141,Yes,Yes,,,No,No,No,No,No,
.931590036,Yes,No,No,No,Yes,,No,No,No,Plaid Cymru
1.12970913,Yes,No,No,No,Yes,,No,No,No,None of these
.582298804,Yes,No,No,,Yes,No,No,No,No,Plaid Cymru
1.073370892,,Yes,Yes,Yes,,Yes,No,No,No,
1.014734098,No,Yes,No,No,,No,No,No,No,
.635240649,Yes,No,,,Yes,,No,No,No,Plaid Cymru
.5551764890000001,Yes,No,No,,Yes,No,No,No,No,Plaid Cymru
.737433288,No,No,No,No,No,No,No,Yes,No,
.557892952,,Yes,No,Yes,,No,No,No,No,
.575434115,Yes,No,No,,Yes,No,No,No,No,Labour
.602842002,Yes,Yes,No,,Yes,No,No,No,No,Labour
1.241546703,No,No,No,No,,,No,Yes,No,
.860253982,No,Yes,Yes,,,Yes,No,No,No,
.4009602,Yes,No,,,Yes,No,No,No,No,Plaid Cymru
.438533777,Yes,,No,Yes,Yes,No,No,No,No,Labour
.530797094,Yes,No,,,Yes,,No,No,No,Plaid Cymru
.375514043,No,No,No,,Yes,No,No,No,No,Plaid Cymru
.396170217,No,,,Yes,Yes,No,No,No,No,Don't know
.502377263,Yes,Yes,Yes,,Yes,,No,No,No,Plaid Cymru
1.233783598,Yes,,,,Yes,No,No,No,No,Plaid Cymru
.804608297,,Yes,No,,No,Yes,No,No,No,
1.079443112,No,No,Yes,No,No,Yes,No,No,No,
.986336672,No,No,No,No,No,No,No,No,Yes,
1.214269117,No,No,No,No,No,No,No,No,Yes,
.98589268,No,No,No,No,No,No,No,No,Yes,
.621754069,No,,No,No,Yes,No,No,No,No,Labour
.328024155,No,No,No,Yes,No,No,No,No,No,
.894162388,Yes,Yes,Yes,Yes,,Yes,No,No,No,
.63915844,No,Yes,Yes,Yes,,Yes,No,No,No,
.446041817,No,Yes,No,Yes,,Yes,No,No,No,
.513124694,No,Yes,No,No,,No,No,No,No,
1.260344294,Yes,No,No,,Yes,,No,No,No,Plaid Cymru
2.061909058,Yes,Yes,Yes,Yes,,Yes,No,No,No,
.765444909,Yes,No,No,No,Yes,No,No,No,No,Labour
.438679347,No,Yes,No,No,,Yes,No,No,No,
.648856686,Yes,No,No,,Yes,,No,No,No,Plaid Cymru
.624607935,No,Yes,No,Yes,No,No,No,No,No,
.356477385,Yes,Yes,,,No,,No,No,No,
1.164781535,Yes,No,,,Yes,No,No,No,No,Plaid Cymru
.5111390179999999,Yes,,No,No,Yes,,No,No,No,Don't know
.775125007,Yes,No,No,No,,No,No,No,No,
3.254945461,No,No,Yes,No,,No,No,No,No,
1.492786791,Yes,No,No,,Yes,No,No,No,No,Don't know
1.03452053,,Yes,Yes,Yes,No,Yes,No,No,No,
1.5492848,No,No,No,,Yes,No,No,No,No,Plaid Cymru
1.305302551,Yes,No,No,,Yes,,No,No,No,Plaid Cymru
.874869263,,No,No,Yes,Yes,No,No,No,No,Conservatives
.707285982,,No,No,Yes,Yes,No,No,No,No,Labour
.675887306,,Yes,No,Yes,No,Yes,No,No,No,
.531772391,No,No,,,Yes,Yes,No,No,No,Don't know
1.91584565,No,No,No,No,No,No,No,No,Yes,
.781930058,No,No,No,No,No,No,No,No,Yes,
1.870135174,No,No,,No,No,No,Yes,No,No,
1.136014475,No,No,No,No,No,No,No,No,Yes,
.480428973,No,,No,No,Yes,No,No,No,No,Don't know
1.764433268,No,Yes,No,No,,No,No,No,No,
1.089745054,Yes,,,,Yes,,No,No,No,Plaid Cymru
.769083464,,Yes,No,Yes,Yes,No,No,No,No,Conservatives
1.55629453,Yes,No,No,No,Yes,,No,No,No,Plaid Cymru
1.006910118,No,No,No,,,No,No,No,Yes,
.9808366039999999,No,No,No,No,No,No,No,No,Yes,
.755397582,No,No,No,No,No,No,No,No,Yes,
.402213987,,Yes,,Yes,Yes,Yes,No,No,No,Liberal Democrats
.8290824919999999,Yes,,No,No,Yes,No,No,No,No,Labour
.533780534,,Yes,No,Yes,Yes,No,No,No,No,Plaid Cymru
.878012484,Yes,Yes,No,,Yes,No,No,No,No,Plaid Cymru
2.114406638,No,No,No,No,No,No,No,No,Yes,
.895109705,,Yes,No,No,Yes,No,No,No,No,Plaid Cymru
.712883267,,No,No,Yes,,Yes,No,No,No,
.893571007,Yes,Yes,No,,Yes,No,No,No,No,Plaid Cymru
.532093291,Yes,,No,No,Yes,,No,No,No,Labour
.920075624,No,No,No,No,No,No,No,No,Yes,
1.736087659,No,No,No,Yes,Yes,No,No,No,No,Don't know
.567684384,No,No,No,Yes,,Yes,No,No,No,
2.23179435,No,No,No,No,No,No,No,Yes,No,
.438533777,No,,No,No,Yes,No,No,No,No,Labour
.71249396,No,No,No,No,Yes,No,No,No,No,None of these
.916442086,Yes,No,No,,Yes,No,No,No,No,Plaid Cymru
.723278458,Yes,,No,,Yes,No,No,No,No,Plaid Cymru
1.22052008,,Yes,No,No,No,No,No,No,No,
.466476052,No,No,No,,Yes,No,No,No,No,Plaid Cymru
.567992888,,Yes,No,,Yes,Yes,No,No,No,Plaid Cymru
.657913961,Yes,Yes,No,No,,No,No,No,No,
.394949273,No,,,No,Yes,No,No,No,No,Plaid Cymru
.743812762,Yes,No,Yes,,Yes,No,No,No,No,Plaid Cymru
1.771822384,No,No,No,No,No,No,No,No,Yes,
.563002962,No,Yes,No,No,,No,No,No,No,
1.008072422,No,Yes,No,Yes,,Yes,No,No,No,
1.293952338,Yes,Yes,No,No,,No,No,No,No,
1.032583264,Yes,Yes,No,No,Yes,Yes,No,No,No,Some other party
.587159774,,Yes,No,Yes,,Yes,No,No,No,
.400215005,Yes,No,,,Yes,,No,No,No,Plaid Cymru
.839389813,Yes,Yes,No,,Yes,No,No,No,No,Don't know
1.15616685,No,No,No,No,Yes,No,No,No,No,Labour
.960993403,Yes,Yes,No,,Yes,,No,No,No,Plaid Cymru
.936781415,No,Yes,No,No,No,No,No,No,No,
1.33656229,No,No,No,No,No,No,No,No,Yes,
.342104892,No,No,No,Yes,No,No,No,No,No,
.722885611,Yes,,No,,Yes,,No,No,No,Plaid Cymru
.960697955,Yes,No,,No,Yes,No,No,No,No,Labour
.526934188,,,No,,Yes,No,No,No,No,Plaid Cymru
.483559725,Yes,Yes,,Yes,Yes,,No,No,No,Labour
.499612655,,Yes,No,No,,No,No,No,No,
.942099906,Yes,Yes,Yes,Yes,,Yes,No,No,No,
.601498074,Yes,,,,Yes,,No,No,No,Plaid Cymru
.579880234,No,No,No,Yes,No,No,No,No,No,
1.13118687,No,No,No,No,Yes,No,No,No,No,Plaid Cymru
.700574877,Yes,Yes,No,No,No,No,No,No,No,
.403068093,Yes,,,,Yes,,No,No,No,Plaid Cymru
.490797694,Yes,,No,No,Yes,No,No,No,No,Labour
.546585432,Yes,,No,,Yes,No,No,No,No,Plaid Cymru
.669949507,No,Yes,No,No,No,No,No,No,No,
.577491507,Yes,,No,,Yes,,No,No,No,Plaid Cymru
.420452141,,Yes,No,Yes,,No,No,No,No,
.5111390179999999,No,Yes,No,Yes,Yes,No,No,No,No,Don't know
.469357235,Yes,No,No,,Yes,,No,No,No,Plaid Cymru
.651434701,No,Yes,Yes,No,No,No,No,No,No,
.902169405,Yes,No,,No,Yes,Yes,No,No,No,Liberal Democrats
.7789965760000001,Yes,Yes,No,No,Yes,No,No,No,No,Don't know
.822736935,No,No,No,Yes,,No,No,No,No,
.724432491,Yes,Yes,No,Yes,Yes,No,No,No,No,Don't know
1.474969227,,Yes,Yes,Yes,Yes,Yes,No,No,No,Conservatives
1.145910932,Yes,,No,,Yes,No,No,No,No,Don't know
.603581342,No,No,No,No,Yes,No,No,No,No,Don't know
.929150704,Yes,No,,,Yes,,No,No,No,Plaid Cymru
1.033958633,No,Yes,No,No,,No,No,No,No,
1.224693988,Yes,,No,,Yes,,No,No,No,Greens
.580220548,,Yes,No,No,Yes,No,No,No,No,Plaid Cymru
1.008761016,No,Yes,,,,Yes,No,No,No,
.565014306,No,No,No,No,No,No,No,No,Yes,
.751219394,No,,No,No,Yes,No,No,No,No,Labour
.538421585,Yes,,Yes,No,Yes,No,No,No,No,Labour
1.076023068,,Yes,No,No,No,No,No,No,No,
2.19392256,No,No,No,No,No,No,No,No,Yes,
.41746873,,Yes,Yes,Yes,,Yes,No,No,No,
1.159284948,,Yes,No,Yes,No,No,No,No,No,
.9096091120000001,Yes,,No,,Yes,,No,No,No,Plaid Cymru
2.010132253,Yes,No,,,Yes,,No,No,No,Don't know
.964071349,No,No,No,,Yes,No,No,No,No,Plaid Cymru
1.648289661,Yes,,,Yes,Yes,No,No,No,No,Labour
.551769669,Yes,,No,,Yes,,No,No,No,Plaid Cymru
.425795145,No,Yes,No,,No,No,No,No,No,
.47950995,,Yes,,No,Yes,,No,No,No,Conservatives
.818828777,Yes,No,No,No,Yes,,No,No,No,Greens
1.571455374,No,No,Yes,,Yes,No,No,No,No,Plaid Cymru
.375906352,No,No,No,No,Yes,No,No,No,No,Plaid Cymru
1.088692062,No,No,No,No,No,No,No,Yes,No,
